Week,Chink + Chinaman + Chinkland + Gook + Chinese virus + China virus + Wuhan virus + Kung flu: (United States)
2019-12-29,1
2020-01-05,2
2020-01-12,4
2020-01-19,96
2020-01-26,100
2020-02-02,44
2020-02-09,30
2020-02-16,19
2020-02-23,28
2020-03-01,27
2020-03-08,49
2020-03-15,86
2020-03-22,63
2020-03-29,35
2020-04-05,22
2020-04-12,21
2020-04-19,11
2020-04-26,9
2020-05-03,8
2020-05-10,6
2020-05-17,6
2020-05-24,5
2020-05-31,3
2020-06-07,3
2020-06-14,4
2020-06-21,11
2020-06-28,11
2020-07-05,6
2020-07-12,5
2020-07-19,4
2020-07-26,4
2020-08-02,4
2020-08-09,4
2020-08-16,3
2020-08-23,3
2020-08-30,3
2020-09-06,3
2020-09-13,4
2020-09-20,3
2020-09-27,3
2020-10-04,3
2020-10-11,2
2020-10-18,3
2020-10-25,3
2020-11-01,2
2020-11-08,2
2020-11-15,3
2020-11-22,2
2020-11-29,2
2020-12-06,3
2020-12-13,2
2020-12-20,2
2020-12-27,3
