Category: All categories

Week,Chink + Chinaman + Chinkland + Gook: (United States),Chinese virus + China virus + Wuhan virus + Kung flu: (United States)
2020-01-05,1,1
2020-01-12,1,2
2020-01-19,1,89
2020-01-26,1,100
2020-02-02,1,40
2020-02-09,1,29
2020-02-16,1,17
2020-02-23,1,26
2020-03-01,1,26
2020-03-08,1,47
2020-03-15,1,85
2020-03-22,1,60
2020-03-29,1,34
2020-04-05,1,22
2020-04-12,1,19
2020-04-19,1,10
2020-04-26,1,8
2020-05-03,1,7
2020-05-10,1,5
2020-05-17,1,5
2020-05-24,1,3
2020-05-31,1,2
2020-06-07,1,2
2020-06-14,1,3
2020-06-21,1,9
2020-06-28,1,10
2020-07-05,1,5
2020-07-12,1,4
2020-07-19,1,3
2020-07-26,1,3
2020-08-02,1,3
2020-08-09,1,3
2020-08-16,1,2
2020-08-23,1,2
2020-08-30,1,1
2020-09-06,1,2
2020-09-13,1,3
2020-09-20,1,2
2020-09-27,1,2
2020-10-04,1,3
2020-10-11,1,1
2020-10-18,1,2
2020-10-25,1,2
2020-11-01,1,1
2020-11-08,1,1
2020-11-15,1,2
2020-11-22,1,1
2020-11-29,1,2
2020-12-06,1,2
2020-12-13,1,1
2020-12-20,1,1
2020-12-27,1,2
2021-01-03,1,1
2021-01-10,1,1
2021-01-17,1,2
2021-01-24,1,4
2021-01-31,1,3
2021-02-07,2,2
2021-02-14,1,1
2021-02-21,1,1
2021-02-28,2,1
2021-03-07,1,1
2021-03-14,1,2
2021-03-21,1,1
2021-03-28,1,1
2021-04-04,4,1
2021-04-11,1,1
2021-04-18,1,1
2021-04-25,1,1
2021-05-02,1,1
2021-05-09,1,1
2021-05-16,1,1
2021-05-23,1,2
2021-05-30,1,4
2021-06-06,1,2
2021-06-13,1,1
2021-06-20,2,1
2021-06-27,1,1
2021-07-04,1,<1
2021-07-11,1,<1
2021-07-18,1,1
2021-07-25,1,1
2021-08-01,1,1
2021-08-08,1,1
2021-08-15,1,1
2021-08-22,1,1
2021-08-29,1,1
2021-09-05,1,1
2021-09-12,1,1
2021-09-19,1,1
2021-09-26,1,1
2021-10-03,1,1
2021-10-10,1,1
2021-10-17,1,1
2021-10-24,1,1
2021-10-31,1,1
2021-11-07,1,1
2021-11-14,1,1
2021-11-21,1,<1
2021-11-28,1,1
2021-12-05,1,1
2021-12-12,1,1
2021-12-19,1,1
2021-12-26,1,1
