PublishedAt,Comment
2022-10-21T09:34:53Z,Hey Rob it’s Mike remember me you where giving a concert on Broadway in New York City and for some dumb reason I was standing in the Pit and some moron bunched me and knocked off my glasses from my face and he was lucky because I became totally blind and lost them and my glasses were gone lost that was funny I know that he broke his hand. Well I just wanted to say hello and remind you of that night. Take care and God Bless you my friend Peace out stay Cool.
2022-10-10T09:11:22Z,Hey baby
2020-11-28T05:02:12Z,He was coughing and you LOST.
2020-11-21T00:53:56Z,Just like millions of American&#39;s he survived and is immune
2020-11-17T01:47:49Z,Has jo been checked for covid.
2020-11-17T01:37:54Z,Can we take uyou out nanie
2020-10-22T13:30:32Z,"Please defend Pennsylvania. What most important is that refraining Biden team from cheating on election, They are always controlling the poll, mainstream media and confident even through no true crowd in campaign rally."
2020-10-22T13:30:29Z,"Please defend Pennsylvania. What most important is that refraining Biden team from cheating on election, They are always controlling the poll, mainstream media and confident even through no true crowd in campaign rally."
2020-10-19T00:11:53Z,Bann tic toks 👌🗣️😲💯🦠🤑
2020-10-18T11:39:32Z,"My, my, my. Maria, foxiest thing alive!"
2020-10-18T08:56:25Z,We can now add Fox to the list of news channels that have traded investigative journalism for tabloid journalism.
2020-10-18T05:25:49Z,Pelosi problem............ TRUMP............
2020-10-18T02:44:36Z,Could not BE MORE PROUD of our president!!!
2020-10-18T02:21:34Z,He says that he beat the covid-19 with a transfusion and medical therapy. And now he&#39;s immune. He&#39;s waiting for the ok from the FDA so he can give it to the world. I&#39;d extend the elections to another date to wait and see if this is true. and if it&#39;s true then he has my vote. and if it&#39;s not true then I think he should go back in his basement.
2020-10-18T02:09:45Z,"FYI Maria, Chris Wallace, DID NOT DO A GREAT JOB."
2020-10-18T01:31:20Z,Shut Up Maria!!  Just Shut Up!!! You constantly interrupting interrupting our President!
2020-10-18T01:17:34Z,"<a href=""https://www.youtube.com/watch?v=4l8y_TLPCTg&amp;t=5m40s"">5:40</a> minute Pelosi should be wearing the mask like that, right? Hipocrita! We have to cover all nose and mouth."
2020-10-18T00:44:08Z,"I just noticed something. When they show the clip of Pelosi speaking , her mask doesn&#39;t cover her nose. Where  I live, you can&#39;t go in anywhere, without your mask covering your whole face. These people just do whatever they want. Remember. REMEMBER THESE PEOPLE ! Let&#39;s get rid of them !"
2020-10-18T00:38:37Z,"This vile opportunist will tell any lie to play down the severity of a growing US 224,000 mortality rate virus which he has totally failed to address."
2020-10-18T13:24:34Z,"@Maria Garcia Only after the Governor asked him for it,  all the while telling Americans that the killer virus was &quot;just a little cold&quot; certainly no need to wear a facemask or keep social distancing then, as he still does now, resulting in the fool getting it himself.!"
2020-10-17T23:53:53Z,Trump disappear!
2020-10-17T21:37:54Z,Really....why push vaccines then
2020-10-17T21:37:24Z,Trumps right about nancys plan. biden will be replaced by killmala who will appoint killery to vp who will replace killmala.
2020-10-17T21:09:33Z,If you knew you were interviewing the president on live TV why would you put your lips in a vacuum cleaner
2020-10-18T02:37:31Z,or kiss a bee hive...
2020-10-17T20:42:43Z,"The Rules by Saul Alinsky:For the Radical Left<br>&quot;Power is not only what you have but what the enemy thinks you have.&quot;<br><br>&quot;Never go outside the expertise of your people.&quot;<br><br>&quot;Whenever possible go outside the expertise of the enemy.&quot;<br><br>&quot;Make the enemy live up to its own book of rules.&quot;<br><br>&quot;Ridicule is man&#39;s most potent weapon. There is no defense. It is almost impossible to counterattack ridicule. Also it infuriates the opposition, who then react to your advantage.&quot;<br><br>&quot;A good tactic is one your people enjoy.&quot;<br><br>&quot;A tactic that drags on too long becomes a drag.&quot;<br><br>&quot;Keep the pressure on.&quot;<br><br>&quot;The threat is usually more terrifying than the thing itself. &quot;<br><br>&quot;The major premise for tactics is the development of operations that will maintain a constant pressure upon the opposition.&quot;<br><br>&quot;If you push a negative hard and deep enough it will break through into its counterside; this is based on the principle that every positive has its negative.&quot;<br><br>&quot;The price of a successful attack is a constructive alternative.&quot;<br><br>&quot;Pick the target, freeze it, personalize it, and polarize it. &quot;"
2020-10-17T20:40:43Z,😆 he&#39;s a actor and its obvious.
2020-10-17T20:39:47Z,He says China that&#39;s how we know it didn&#39;t come from China or anywhere else. No virus can spread from person to person because they are not alive and cannot do anything outside our bodies. Our bodies MAKE THE VIRUSES SO THEY CAN ELIMINATE THE BUILT UP TOXINS IN US.
2020-10-17T20:19:48Z,WE LOVE YOU PRESIDENT TRUMP! So many Canadians wish you were our Leader too! WE DIE UP HERE without the Pipeline! Thanks for all you do! Our hearts are yours!
2020-10-17T20:05:37Z,What a powerful ALLEGORY. <br>The President is IMMUNE. <br>The allegory suggests that the President is Immune from all attacks weather it&#39;s viral or otherwise. <br>Powerful statement.
2020-10-17T19:26:18Z,"Why immune in &#39; &#39; . ?? Isn&#39;t that what healthy normal immune systems do, and what the vaccines are supposed to do???"
2020-10-17T19:05:47Z,Pelois stop killing your own people.they should put you in jail for killing all these people.
2020-10-17T18:46:46Z,What load of crap! &quot;It&quot; only exists in the minds of sheep!
2020-10-17T18:46:23Z,Biden has brain damage and Biden will NEVER admit to it. Trump is mentally very sharp and physically healthy as is Trump&#39;s direct family.
2020-10-17T18:32:45Z,Her voice is horrific.
