PublishedAt,Comment
2021-12-19T09:05:31Z,"I think 5-7 million Americans may die this winter from COVID 19. 800,000 Americans have died so far."
2021-11-24T20:33:28Z,Of course it will reach a million. Hasn’t anyone been watching the count? The original estimate with no vaccine was 2.2 million. We’re not completely vaccinated so we’ll just keep counting I guess.
2021-08-01T04:30:51Z,"Lol its july and US covid deaths is at 600,000+"
2021-04-02T19:19:23Z,I can’t imagine what covid would look like with Trump was still president with new variants. I would believe the us would reach 10k deaths per day. I hope no country ever reaches that
2021-02-15T20:37:41Z,<b>why vaccines don&#39;t work</b> ... because... the premise is wrong...  once a disease is manifest... you need to get at the root cause... not a bandage fix... the other facts... they are at most 50% effective... because... your body is given a dead piece of the virus... it really isn&#39;t a good representation of what the immune system needs to look for...  secondly... the adjuvants used to incite the immune system are heavy metals... toxic to the body in any amounts... moral of the story... healthcare is not insurance... do not listen to conventional wisdom... because... it is lacking...
2021-01-28T10:57:34Z,"The question to ask yourselves while watching News during a Pandemic is:  &#39;Cui Bono?&#39; Who is profiting from the governments inaction?  If Big Pharma is a big contributor to Presidential and Senate races, if big banks profit from insurance rolls that are cleared of the elderly, morbidly obese, and the sick?  You don&#39;t need to wonder who incentivised the Trump/Kushner hobbling of the CDC.  There are moneyed interests behind this."
2021-01-17T11:20:01Z,It will surpass the 1918 pandemic
2021-01-16T07:32:24Z,"They don&#39;t know what they&#39;re talking about. It won&#39;t even be 700,000. By the end of 2021 Covid-19 probably will have killed less than 0.5% of the US population since the start of the pandemic."
2021-01-16T00:16:32Z,The king of the superspreaders soon to be gone.
2021-01-15T00:15:03Z,Love from St.Lucia
2021-01-14T09:47:23Z,we are almost to the US soldier death count of world war 2
2021-01-14T00:02:29Z,"For this to occur, 570k or more  deaths would occur after Biden is inaugurated. We will likely be about 420k-430k or so 1/20/2021 at 12 p.m."
2021-01-13T11:33:22Z,"😷Many prisoners are dieing of Covid19 every day. This includes people awaiting trial. Who are innocent until proven guilty. The medical care is stretched thin and prevented measures are few and far inbetween and hospitals are filling up. Many more mother&#39;s, father&#39;s, daughters, sons, and families will die in the criminal justice system unless we write our governor&#39;s and parole  boards in each state. <br><br>Let us as one voice speak the truth of what&#39;s going on inside the prisons. As family&#39;s of inmates and past inmates that have been released. Please make people aware of maltreatment and lack of medical care for inmates. This includes correctional workers who don&#39;t have enough PPE and are afraid of contracting Covid-19. who&#39;s protocols keep changing creating unsafe situations for the prisoners and the gaurds. please post and make videos and write your governor&#39;s and politicians. Those who are incarcerated cannot speak of for themselves and those who have died wrongfully will have a voice. In Utah the elderly unit of 28 men. Have already had eleven of them die and more to come 😢 https://youtu.be/RgtoW4ZmuJQ<br><br>I was also part an article in Utah by the Deseret News<br><a href=""https://www.deseret.com/utah/2020/11/20/21571641/coronavirus-utah-state-prison-covid-19-outbreak-inmates-families-despair-virus-spreading"">https://www.deseret.com/utah/2020/11/20/21571641/coronavirus-utah-state-prison-covid-19-outbreak-inmates-families-despair-virus-spreading</a>"
2021-01-13T00:44:04Z,"After how Trump handled the Covid situation you can basically scratch 9/11 from your calendars. Yes, two buildings collapsed but the civilian deaths have lost all significance. America is losing more people than died in those attacks every single day right now.<br><br>Even all of WW2 has &quot;only&quot; cost 440,000 American lives.<br>Thanks to Trump more than twice that many will be dead by May and it won&#39;t be anywhere near over then."
2021-01-12T22:30:34Z,"One DOZEN scientifically proven methods to treat, prevent and CURE COVID-19. All scientific information is included, as is official documentation from the CDC, WHO, NIH and others. Nobody debunks or refutes, this is all absolutely proven. Your politicians are evil terrorists: <a href=""https://sites.google.com/view/thewalk3/how-to-cure-covid-19-quickly-easily-inexpensively"">https://sites.google.com/view/thewalk3/how-to-cure-covid-19-quickly-easily-inexpensively</a>"
2021-01-12T14:34:58Z,💀🤝💀
