,fips,county,state,esse_1,esse_2,esse_DO,ma_1,ma_2,ma_3,ma_DO,ideo,pid,pid_5_TEXT,gen,gen_3_TEXT,race,race_7_TEXT,age,move1,move2,inc,edu,employ,know,control_time_First.Click,control_time_Last.Click,control_time_Page.Submit,control_time_Click.Count,corona_time_First.Click,corona_time_Last.Click,corona_time_Page.Submit,corona_time_Click.Count,origin_time_First.Click,origin_time_Last.Click,origin_time_Page.Submit,origin_time_Click.Count,aar_1,aar_2,aar_3,aar_4,aar_5,aar_6,aar_DO,sr_1,sr_2,sr_3,sr_4,sr_DO,latino_1,latino_2,latino_3,latino_4,latino_5,latino_6,latino_7,latino_DO,violent_white,violent_black,violent_hispanic,violent_asian,violent_chinese,lazy_white,lazy_black,lazy_hispanic,lazy_asian,lazy_chinese,intel_white,intel_black,intel_hispanic,intel_asian,intel_chinese,trust_white,trust_black,trust_hispanic,trust_asian,trust_chinese,feeling_1,feeling_2,feeling_3,feeling_4,feeling_8,racialpolicy_1,racialpolicy_2,racialpolicy_3,racialpolicy_4,racialpolicy_5,racialpolicy_6,racialpolicy_DO,china_1,china_2,china_3,china_4,china_DO,Q234_First.Click,Q234_Last.Click,Q234_Page.Submit,Q234_Click.Count,placebo_1,placebo_2,placebo_3,placebo_4,placebo_DO,fmc_control,fmc_corona,fmc_origin,check_1,check_2_1,vul_2,vul_1,vul_3,trump_1,trump_1_3_TEXT,trump_2_1,FL_141_DO,FL_140_DO,FL_147_DO,FL_112_DO,total_case
1,1001,Autauga County,Alabama,1,1,2|1,1,1,1,1|2|3,1,1,,2,,3,,6,1,2,2,6,15,2,0,0,0.771,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,5,2,3,1|4|6|3|2|5,1,3,5,2,1|4|3|2,3,2,3,2,5,2,3,2|6|3|7|4|1|5,6,4,4,3,4,5,3,3,4,5,1,5,4,2,5,5,6,4,3,4,100,50,48,81,81,3,2,3,5,4,5,5|6|4|3|2|1,4,1,4,1,3|4|2|1,0.039,6.458,7.209,14,5,1,7,3,2|1|3|4,1,NA,NA,1,74,47,2,1,1,,79,Control,SymbolicRacism|LatinoResentmentScale,"RacialPolicy(Asian,Black,Latino)|FeelingThermometer|FL_112",Intelligent|Violent|Lazy|Trustworthy,518766
2,1001,Autauga County,Alabama,5,5,2|1,5,5,5,1|2|3,5,4,,2,,4,,1,2,NA,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,13.493,14.432,16.453,2,5,5,5,5,5,5,4|1|6|5|3|2,5,5,5,5,2|3|1|4,5,5,5,5,5,5,5,5|4|3|7|6|1|2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,6,9,33,15,3,3,3,3,3,3,3|4|5|6|1|2,4,4,4,4,2|3|4|1,51.906,67.32,67.794,9,5,5,5,5,2|1|3|4,NA,NA,2,5,0,47,NA,1,2,,0,ChineseOriginCondition,SymbolicRacism|LatinoResentmentScale,"FeelingThermometer|FL_112|RacialPolicy(Asian,Black,Latino)",Violent|Lazy|Trustworthy|Intelligent,518766
3,1001,Autauga County,Alabama,5,5,2|1,5,5,5,2|1|3,7,4,,2,,5,,1,1,1,1,1,1,4,2.261,2.261,3.631,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,2|4|6|5|3|1,5,5,5,5,3|1|2|4,5,5,5,5,5,5,5,4|6|3|7|5|2|1,1,1,1,1,1,1,1,1,7,7,2,1,1,1,1,1,1,1,3,5,4,78,6,7,8,5,5,5,5,5,5,3|5|6|4|2|1,8,8,8,9,2|3|1|4,0.787,3.491,3.955,5,8,8,8,8,1|3|2|4,2,NA,NA,4,63,45,NA,2,2,,78,Control,LatinoResentmentScale|SymbolicRacism,"FL_112|RacialPolicy(Asian,Black,Latino)|FeelingThermometer",Intelligent|Lazy|Violent|Trustworthy,518766
4,1001,Autauga County,Alabama,3,3,2|1,3,3,3,1|2|3,4,3,,1,,4,,3,2,NA,4,3,2,5,0.578,0.578,9.334,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,1|4|6|3|2|5,3,3,3,3,2|3|4|1,3,3,3,3,3,3,3,5|7|1|6|3|2|4,4,4,4,4,4,4,4,4,4,4,2,7,4,6,7,4,4,4,4,4,10,10,10,10,10,3,3,3,3,3,3,4|6|2|1|3|5,4,4,4,4,3|4|2|1,2.278,9.894,12.069,10,5,5,5,5,1|2|3|4,1,NA,NA,5,0,46,NA,1,3,Nope,0,Control,SymbolicRacism|LatinoResentmentScale,"RacialPolicy(Asian,Black,Latino)|FeelingThermometer|FL_112",Intelligent|Trustworthy|Violent|Lazy,518766
5,1001,Autauga County,Alabama,3,2,1|2,1,4,2,1|3|2,4,3,,1,,2,,2,1,1,5,2,1,2,NA,NA,NA,NA,0.537,0.968,1.553,2,NA,NA,NA,NA,2,3,5,3,3,4,2|5|1|6|3|4,2,2,1,5,2|4|3|1,1,3,1,4,5,5,5,4|6|5|7|1|3|2,6,4,3,4,3,3,6,7,7,7,4,4,5,7,7,5,6,7,5,6,5,99,97,95,91,3,5,5,2,2,1,3|4|2|6|5|1,2,3,2,3,1|4|2|3,0.393,10.298,11.583,11,7,6,6,8,1|3|2|4,NA,1,NA,2,77,47,NA,1,1,,29,CoronavirusCondition,SymbolicRacism|LatinoResentmentScale,"RacialPolicy(Asian,Black,Latino)|FL_112|FeelingThermometer",Intelligent|Trustworthy|Violent|Lazy,518766
6,1001,Autauga County,Alabama,2,2,1|2,3,1,3,1|2|3,6,4,,2,,1,,1,1,1,5,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,0.848,0.848,1.273,1,4,2,3,4,3,1,5|6|1|2|3|4,2,4,3,3,2|3|4|1,3,2,4,2,3,2,3,6|1|4|3|7|2|5,4,6,5,5,6,6,7,4,6,7,7,7,7,4,7,7,4,7,7,5,72,90,70,51,81,4,2,5,4,4,3,6|1|5|2|4|3,3,5,4,4,4|2|1|3,18.327,22.405,23.063,9,6,2,3,6,4|3|2|1,NA,NA,2,4,74,46,NA,2,2,,84,ChineseOriginCondition,LatinoResentmentScale|SymbolicRacism,"FL_112|FeelingThermometer|RacialPolicy(Asian,Black,Latino)",Lazy|Intelligent|Trustworthy|Violent,518766
7,1003,Baldwin County,Alabama,2,1,1|2,3,3,4,3|1|2,5,1,,2,,1,,3,1,1,6,5,14,3,NA,NA,NA,NA,NA,NA,NA,NA,7.683,28.131,30.174,9,3,3,3,3,3,3,4|2|5|3|6|1,1,5,5,3,1|2|4|3,3,3,3,3,3,3,3,6|3|2|1|5|4|7,4,4,4,4,4,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,94,94,77,92,91,3,3,1,5,5,1,6|4|3|2|5|1,4,4,4,4,2|1|3|4,1.063,11.072,12.566,8,8,5,8,7,1|4|2|3,NA,NA,2,2,97,48,NA,2,2,,81,ChineseOriginCondition,SymbolicRacism|LatinoResentmentScale,"FeelingThermometer|RacialPolicy(Asian,Black,Latino)|FL_112",Lazy|Intelligent|Violent|Trustworthy,2087419
8,1003,Baldwin County,Alabama,2,3,2|1,4,2,3,1|3|2,5,4,,2,,2,,4,1,2,6,3,11,4,NA,NA,NA,NA,0.433,0.68,1.215,2,NA,NA,NA,NA,3,4,4,3,2,3,1|6|5|4|3|2,4,4,2,3,2|3|4|1,3,3,3,4,4,4,5,2|1|3|4|6|5|7,5,5,4,2,4,5,5,5,4,6,4,4,4,5,5,5,4,4,4,5,56,74,3,9,12,2,2,2,2,2,2,1|4|6|3|5|2,8,2,8,4,3|4|2|1,0.413,8.468,9.81,12,7,2,5,3,4|1|3|2,NA,1,NA,3,92,46,1,2,1,,90,CoronavirusCondition,SymbolicRacism|LatinoResentmentScale,"FL_112|FeelingThermometer|RacialPolicy(Asian,Black,Latino)",Lazy|Trustworthy|Intelligent|Violent,2087419
9,1005,Barbour County,Alabama,2,2,2|1,3,1,4,1|3|2,7,2,,1,,1,,2,1,1,6,4,2,3,0.203,0.638,1.131,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,1,3,1,5|3|1|6|4|2,2,4,1,3,4|2|1|3,1,1,1,2,3,5,3,5|1|7|6|2|3|4,3,4,5,4,6,6,7,6,3,5,5,4,5,5,7,5,5,3,4,2,57,86,32,81,70,1,4,1,4,4,1,1|2|3|6|5|4,3,4,5,2,2|1|4|3,0.425,2.449,3.269,7,3,3,5,6,4|2|3|1,1,NA,NA,3,72,46,NA,1,1,,74,Control,LatinoResentmentScale|SymbolicRacism,"RacialPolicy(Asian,Black,Latino)|FeelingThermometer|FL_112",Trustworthy|Lazy|Violent|Intelligent,283208
10,1009,Blount County,Alabama,3,2,2|1,1,3,3,2|1|3,4,4,,2,,1,,1,2,NA,5,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0.643,0.643,1.947,1,3,3,2,2,3,3,5|4|2|6|1|3,1,4,3,3,4|1|2|3,2,3,5,2,1,2,3,5|2|7|1|6|3|4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,54,58,45,60,51,5,2,3,4,3,2,2|5|1|6|4|3,2,4,3,3,3|4|2|1,1.421,6.436,7.223,9,1,2,2,6,3|1|4|2,NA,NA,2,2,68,47,1,1,2,,54,ChineseOriginCondition,SymbolicRacism|LatinoResentmentScale,"RacialPolicy(Asian,Black,Latino)|FeelingThermometer|FL_112",Intelligent|Lazy|Trustworthy|Violent,1619530
