PublishedAt,Comment
2021-07-19T00:46:14Z,I&#39;m better at the English
2020-06-30T18:26:34Z,with pleasure  ;)
2020-06-29T00:13:54Z,"Hey, let&#39;s all Stop Those shutdowns, lockdowns and face masks and social distancing because they&#39;re going to say everyone has it anyway so who cares. I&#39;ve had the sniffles and sore throat before. Just let me die! You media Psychopaths just leave us alone !!"
2020-06-28T05:35:15Z,Fauci seemed to diminished it&#39;s power among young people...Type II Diabetes wasn&#39;t an accident
2020-06-27T21:48:10Z,".2% mortality rate and dropping, testing more means more cases will be found by default, lieing media only fear monger as cover for their lunatic power hungry base, no I will not wear a mask because YOU are a hypochondriac"
2020-06-27T21:40:15Z,"There is no way you can get a loan that is up to $100,000 without a guarantor,but with allyloan you can get that <br>Due to corona virus situation <br>Allyloan has come to conclusion,will be giving out loan without a guarantor,apply now lending are from £$5000_£$10,000,000<br><br>you are to deposit  2% of your loan as collateral and according to the <b>constitution</b> <b>of the lender&#39;s committee</b> UK ,click the link below to apply now <br><a href=""https://www.allyloan.co.uk/"">https://www.allyloan.co.uk/</a>"
2020-06-27T14:56:20Z,FAKE NEWS = FAKE VIRUS!!
2020-06-26T17:59:53Z,It’s a hoax you idiots!
2020-06-26T15:38:31Z,"Too much drama, attention, publicity about covid-IXX. This is just like any cold where people die as well.  The liberals, the print &amp; video media are harming the country. Why not address China, fix our airports, bridges and go back to school normally?"
2020-06-26T03:07:25Z,not fare.https://youtu.be/up7Y_iM7pyQ
2020-06-26T01:13:50Z,Not one mention of ptotest being the cause of increased spread and your a news station
2020-06-27T14:33:48Z,"<a href=""https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1"">https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1</a>"
2020-06-26T01:13:27Z,"I&#39;m so sick of the lies about covid and I&#39;m sick of hearing about it . More people have died from suicide , cancer,and the regular flu . We did shut down the us for the flu just this year .  I&#39;m so tired of being lied to by the media. I would like the REAL stats on all of it <br>Not lies !!!!!"
2020-06-26T01:39:07Z,"regular flu deaths were about 60,000 in 6 months. coronavirus deaths are about 132,000 in 5 months. More than twice as deadly in less time. Suicide and cancer are not contagious so the same problem with opening things up, social distancing etc do not exist for the virus"
2020-06-26T00:40:08Z,I don&#39;t trust doctors.....it&#39;s a hit and miss apparently....
2020-06-28T15:31:47Z,But you trust yourself without a medical degree.
2020-06-26T00:37:44Z,"testing is easy,but cure is hard,Trump is making Americans i. danger,how foolish"
2020-06-25T23:44:11Z,where is Fauci?
2020-06-26T01:55:05Z,In the basement at the white house
2020-06-25T23:41:02Z,What is Pralidoxime and why can&#39;t it be used for covid-19? Ask Dr. Ashton
2020-06-25T23:24:52Z,America the Home of the coronavirus. USA #1! USA #1! USA #1! Goooooooooooooooooooo USA!
2020-06-26T01:40:14Z,can you print all that on a face mask? hmmm . Might be a good marketing idea
2020-06-25T23:16:53Z,"TODAY JUNE 25TH  2,498.000. CASES  126.500 DEATHS"
2020-06-25T23:13:23Z,"Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q-anon , Q"
2020-06-25T23:13:12Z,left4dead
2020-06-25T22:37:37Z,If there&#39;s an outbreak of infected where will they try to go if it reaches outrageous numbers
2020-06-25T22:33:51Z,☹️👎15 sec AD on 2min 15 sec video 👎☹️👎☹️
2020-06-25T22:24:34Z,George the shill.
2020-06-27T14:34:36Z,"<a href=""https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1"">https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1</a>"
2020-06-25T22:11:14Z,America we need a strong President to fight China and Russia and others...will never be friends with us ...with this virus you need a smart President Trump 2020 he is in a battle to save the America we have always loved...vote President Trump 2020.
2020-06-26T02:50:42Z,Hong Kong people don’t come to USA to fight the jobs with us colored minority workers
2020-06-25T22:04:17Z,After making a garage door pull national news how are we supposed to believe anything you say?
2020-06-25T22:06:21Z,MSM! Not for dumb fuckers.
2020-06-25T21:53:15Z,Don&#39;t talk about the virus it&#39;s a secret you may offend no one 😁👍
2020-06-25T21:52:02Z,"Were these effects in mild cases also, or only in severe cases?  Any correlation with vitamin D levels?  So many questions"
2020-06-27T14:33:27Z,"<a href=""https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1"">https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1</a>"
2020-06-25T21:49:39Z,"What is with this channel why delete comments neither derogatory or controversial just opinions, that&#39;s what I thought YouTube was about, a platform to voice your opinion.🤪"
2020-06-25T21:45:07Z,Yes Jim I agree you are such a wise spider 😀👍
2020-06-25T21:42:45Z,"And we still can fight it, LITERALLY LIKE ELIMINATING IT. We&#39;re only CONTAIN IT by wearing masks. That&#39;s why ITS STILL THERE! And there&#39;s no cure so far yet! 😠"
2020-06-27T14:35:34Z,"<a href=""https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1"">https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1</a>"
2020-06-25T21:22:33Z,Just like humans evolve a virus will  manipulate the human body and become a different strain.
2020-06-25T21:15:57Z,"I think the infection rate will slow down and plateau,lockdown will be eased and when we get to the colder months it will peak again,viruses have been around since we started walking the earth,"
2020-06-27T14:34:55Z,"<a href=""https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1"">https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1</a>"
2020-06-25T21:13:33Z,"URGENT, GET READY BECAUSE THE TIME OF THE END HAS BEGUN !! ..<br><a href=""https://youtu.be/8yVh558YuXE"">https://youtu.be/8yVh558YuXE</a><br>URGENT, TRUMP IS GOD&#39;S TRUMPET, AND PROPHETIC SIGN OF THE LAST TIMES !!.<br><a href=""https://youtu.be/iJPbWFJFnqs"">https://youtu.be/iJPbWFJFnqs</a>"
2020-06-25T21:10:59Z,"Trump is the best for America you will see in your lifetime, others have personal agendas for wealth and power. He just wants to be a Great American Hero, yes a huge ego but if he puts America on track for ALL  then throw him a bone. Think about it."
2020-06-25T21:17:17Z,You need help
2020-06-26T03:15:26Z,"Bobby Vagene I hope Biden wins and you will get the chaos you want, i&#39;ll be fine. Peace or not. Not white or black, good or bad, bring your badness near me and we will see, won&#39;t we."
2020-06-25T21:07:14Z,"Thank you, no politics. : )"
2020-06-27T14:33:56Z,"<a href=""https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1"">https://www.worldpolity.com/2020/06/corona-virus-latest-updates-top-ten.html?m=1</a>"
2021-08-18T07:33:23Z,i realize it is kind of off topic but do anyone know of a good website to watch newly released movies online?
2021-08-18T07:49:33Z,@Vance Elliott Flixportal :D
2021-08-18T08:05:21Z,"@Zayn Niko Thank you, signed up and it seems to work :) Appreciate it!"
2021-08-18T08:21:26Z,@Vance Elliott Happy to help xD
2020-06-25T21:06:00Z,Great now we can panic even more
2020-06-25T21:24:03Z,Yes
2020-06-25T21:24:36Z,Eating cookies increases the risk of diabetes
2020-06-25T20:59:52Z,"<a href=""http://www.youtube.com/results?search_query=%23coronavirushoax"">#CoronaVirusHoax</a>  INFLATED NUMBERS,  CDC LIES !  WORLD HEALTH ORGANIZATION LIES !  NEW WORLD ORDER TAKE OVER..............WAKE UP WORLD !"
2020-06-25T21:15:54Z,You need to stop believing in Russian propaganda
2020-06-26T01:41:03Z,go back to watching cartoons and leave the adults alone
2020-06-25T20:59:09Z,Remove 1 law 4 bad cop is I’m frighten 4 my life bye all bad cop and no more kill black
2020-06-25T20:53:12Z,Yet we have dumba** in office who thinks this isn’t a big deal.
2020-06-25T20:39:22Z,We all gonna die 😷
2020-06-25T20:35:20Z,You guys swapped eyes. Looks really good. 👀
2020-06-25T20:35:03Z,LET THE BUNKER AND HIS REPUBLICANS SWAMPS KILL EACH OTHER.  DON&#39;T ADMIT THOSE MORONS AT YOUR HOSPITAL
2020-06-25T20:35:01Z,When will this stop?
2020-06-25T20:35:52Z,2023
2020-06-25T20:36:41Z,When that Russian asset is out of the white house!
2020-06-25T20:39:48Z,When god gets off the throne and do something about it
2020-06-25T21:23:45Z,When you stop touching yourself at night
2020-06-26T00:53:45Z,After the election.
2020-06-25T20:35:01Z,Trump fixed the spike in infections in Texas HE STOPPED FUNDING FOR TESTING
2020-06-26T01:41:00Z,"God I hate election years, it brings out such biased idiotic comments!"
2020-06-25T20:30:11Z,"Yep,we&#39;re fucked up😔"
2020-06-25T20:26:48Z,America is winning at dying.
2020-06-25T20:27:30Z,I’m pretty “tired of winning”
2020-06-25T20:28:53Z,@@commonsense571 you would like my playlist
