PublishedAt,Comment
2023-09-12T17:34:18Z,Pathetic fear mongering
2023-04-30T01:25:50Z,Prophetic
2023-03-16T01:08:48Z,Hey! First comment of 2023! Is it anniversary day for China Virus??
2022-09-12T13:13:04Z,It&#39;s kind of surreal to watch this now given how much Tucker would become a skeptic
2022-07-10T19:02:06Z,"I know I am 2 years late, but when did Tucker trust science?"
2022-03-10T16:44:12Z,This is still relevant after exactly 2 years.
2021-08-30T17:22:21Z,"If you’re reading this, never forget what happened on January 8, 2020 Al Asad airbase. Our troops were mercilessly attacked and neglected afterwards."
2021-07-17T03:45:40Z,"You were spot on when it comes to Coronavirus Tucker, keep up the great work."
2021-05-21T00:07:46Z,This was before conservatives knew Trump wanted them to stick their heads in the sand about COVID-19
2021-03-26T03:41:34Z,"Lora of good warnings here... that unfortunately became ALL TOO TRUE!. But saying the &quot;people that made us dependent on China for medical and other items&quot; should be held responsible.- means EVERY AMERICAN who shops at or encourages Walmart and ALL The others to keep prices down and buy from China!, i.e. ALL of our fellow Americans. It was NOT the &#39;Dems&#39; who allowed China business, but unabashed low-price sourcing that caused ALL our our dependence!  Tucker STOP Scapegoating  and name calling!  WE allowed EVERYONE to come in from everywhere without testing or isolation or even instructions... to mingle at will  China did not &quot;send&quot; the virus to us, anymore than the west wind across the Pacific is &#39;sent:  from China&#39; ! <br>Use your BRAIN ! !"
2020-10-07T01:48:24Z,"Tucker, you called it man. The powers at be hid the danger from us, and now over 200,000 are dead. Crazy."
2020-10-06T21:15:12Z,Thanks for falling into the Dems trap..... idiot
2020-10-04T00:06:24Z,"why is tucker say our leaders are the one minimizing  the effect of the virus . TRUMP is the one who was minimizing it, trump said it will miraculously disappear. IT WAS ALL TRUMP"
2020-10-03T11:07:17Z,"Well, 6 months down in October,  and Democrats are NOT rotting in hospital, whereas, the Orangeman and his cronies are festering in COVID juices! Maybe even GOD doesn’t like Republicans- f*cking dropping like flies- it’s called comeuppance! Love it!"
2020-09-26T00:20:58Z,THANK YOU TUCKER. You are &quot;THE PEOPLE&#39;S Reporter&quot;.  YOU TOLD THE TRUTH!
2020-08-06T02:10:31Z,"Watching this in August, it&#39;s clear Tucker was completely vindicated."
2020-08-03T19:20:11Z,"To Carlson’s credit, he was the first host on Fox who actually took COVID seriously and sounded the alarm. The rest of the talking heads naturally stuck with the party line until it turned up coughing at their doorstep."
2020-07-22T16:22:27Z,Was the pandemic THAT bad??
2020-06-22T04:44:04Z,The Chinese Coronavirus.
2020-06-22T04:43:23Z,500 cases.  This Douchebagg was denying it. Him and his Uncle Sean and Mark Levin and Rushbo.
2020-06-15T16:09:11Z,Just wait until the nation of these here United States of the Americas must has go on mandatory lock down. And March baseball madness say cancel of events??
2020-06-09T06:50:42Z,I bet his favorite food is Chinese food. Gtfoh
2020-06-02T04:09:54Z,lmao didn&#39;t fox news say early on that the corona virus was &quot;just a flu&quot; too??
2020-05-19T00:16:29Z,Did he just said that China is the most racist country in the world ?
2020-05-12T16:20:49Z,They&#39;re gonna play this video in history classes
2020-05-11T15:14:41Z,March Madness was cancelled?
2020-05-04T06:04:27Z,"Hey! I thought Trump was a good mate of President Xi. Referring to COVID-19 earlier this year, Trump said,  &quot;He (Xi) is working really, really hard.  They are very tough and very smart.&quot;  In the same video Trump then said, &quot;The relationship with China is a very good one.&quot;  The two mates had only just agreed on a new trade agreement.  There is no value in terminating a trade PARTNER when each RELIES on the other, but then Trump needed to blame someone for his abysmal response to the pandemic. China, WHO, a Democrat hoax, State Governors are on his hit list...I fear Fauci may be next.  God Bless America."
2020-04-23T14:07:10Z,The foresight of a gnat
2020-04-20T13:07:21Z,THE DOCTORS ARE STILL SAYING THE NUMBERS ARE WAYYYYYY   OFF. . THE NUMBERS SAY THIS VIRUS IS NOT EVEN AS BAD AS THE FLU.
2020-04-27T04:48:36Z,The numbers say this is way worse than flu.
2020-04-15T20:30:40Z,"Obviously it&#39;s not like the flu. You can be infected and spreading it without any symptoms for at least 4 days until symptoms finally show up. But, they didn&#39;t know that until recently."
2020-04-14T07:10:48Z,even a broken clock is right twice a day
2020-04-14T07:05:35Z,"i think every country is having a long hard look at its reliance on things made in china, the silver lining i suppose"
2020-04-10T08:23:09Z,"The only solution is extreme social distancing. If this is not implemented this will get far worse and millions and even billions will die.<br>All this business about the economy, they are crashing it on purpose.  If people are logical the economy won’t collapse, and we’ll have a chance against the virus."
2020-04-07T04:42:30Z,"<a href=""https://www.youtube.com/watch?v=EbyPW8lJX2E&amp;t=6m48s"">6:48</a> who made us so dependent on a hostile foreign power like china anyway? i wish he’d tell us"
2020-04-06T05:03:21Z,"Is he...saying that...trump didn&#39;t do anything for the US? Oh no...he did...he said this was a Hoax, nothing to worry...is so beautiful to have such an optimistic president."
2020-04-05T09:24:36Z,@ Bill Gates &amp; World Economic Forum ran @ Outbreak Simulation just 6 Weeks Before The Real Outbreak in China..... Hmmm...  What a coincidence?!
2020-04-05T09:24:26Z,I’m as left as it gets but I can respect real journalism.
2020-04-04T19:24:03Z,You just contradicted your self here April 4th about why we shouldn’t shut the country. Foolishish man
2020-04-04T02:47:24Z,Nobody listened to Tucker =(
2020-03-31T06:46:01Z,"Never miss your program, never👌👌👌👌👌"
2020-03-29T08:41:35Z,WE ARE ALL GOING TO DIE.  WE ARE ALL GOING TO DIE.  SO WHAT.
2020-03-29T00:43:11Z,DOUBLE FACE
2020-03-28T04:31:27Z,"I feel like this is a hundred years ago when he says that Italy has 100 deaths per day. Today Italy had 919 people die in one day and now we are on lockdown, borders are closed and the Olympics are cancelled and Tucker is quarantined for coronavirus exposure."
2020-03-22T11:17:26Z,"The government is the fault for this situation by its complacency, china lied to its citizens and the world with deadly consequences, and is not going to be held accountable. We are going to pay with our lives."
2020-03-22T11:05:08Z,We must remain calm says hysterical pansy-boy Tucker. <br>Talk to you in 3 weeks. You will be shutting yourself in the streets by then. We&#39;ll see who&#39;s racist by then. <br>Greetings from Geneva.
2020-03-21T23:28:50Z,Trump announced Europe travel ban after this video
2020-03-21T08:49:22Z,"Viruses have no passports, nor nationalities! And btw, what do you have to say about all the Europeans who brought all kinds of viruses to the native people of North America, and South America. Do you call those viruses &quot;European&quot; viruses??? Are you proud of your ancestors for bringing infectious diseases that killed thousands in the Americas? If the Chinese have to be blamed for something, it is for having live animal markets, i.e. &quot;wet markets,&quot; and having no animal welfare, and no animal cruelty laws. If those markets were shut down, there might be no covid-19, the same way that there might be no Ebola if African countries did not consume certain animals."
