PublishedAt,Comment
2021-01-16T16:30:56Z,What are the adverse effects of the vaccine?
2020-12-04T01:25:30Z,"Going Back To Normal?<br>For the Truth about COVID-19 read, “This Is A Bio-Attack Alert”, by Dr Robert B Strecker. Listen to his audio interviews,  The Strecker Memorandum &amp; The Bio-Attack Alert. AIDS Cures &amp; Remedies on Archive dot org, search, umojaresearch. <br>Look up FDA LUCIFERASE” Test. <br>Blessings To All Worthy Of Being Blessed"
2020-12-02T22:26:04Z,"I will gladly observe safety measures for many months more, if needed.  I am about to be 65, so I may be eligible for the vaccine.  Very glad plans are in place for release of the vaccine.  Even then ... I will wear my mask for quite some time.  It is a LETHAL PANDEMIC!"
2020-12-04T14:38:06Z,why if you are immune that is nonsense!
2020-11-30T20:17:24Z,"<a href=""https://youtu.be/ZnpnBYgGARE"">https://youtu.be/ZnpnBYgGARE</a>"
2020-11-30T19:32:27Z,The homeless are dying in mass.<br>Not. Covid-19.
2020-11-30T19:29:45Z,"The Leadership missing, is the Church.  The church is Lost and Closed.  Your Path of birth is Lost.  Seek out God for guidance.  Your Father&#39;s hands will guide you.  🌈😇🌈"
2020-11-30T15:14:01Z,"....xx........  End  COVID-19 … Now.  <br>Directory of  Doctors curing   thousands  of  outpatients … fast.   <a href=""https://www.exstnc.com/"">https://www.exstnc.com</a>"
2020-11-30T14:56:45Z,"I&#39;m high-risk and rural, so it was nice knowing you all."
2020-11-30T15:34:23Z,Me too. We&#39;re done for!
2020-11-30T14:25:21Z,That&#39;s all because we have a downright racist in the White House and probably in the Senate. They will deny it to the very end of their terms but I got to tell you something it&#39;s sticks out like a sore thumb. I&#39;m beginning to think most Republicans and I do not like stereotyping people are indeed racists. White supremacy be damned.
2020-11-30T13:34:44Z,"God every word that comes out of your lips are lies! People of America rise up and overthrow these....THINGS! This covid-19 b*<b>****</b> was brought into this nation by the Chinese with help from these f******, so in my own opinion to save our country we have to GET RID OF ALL THESE F******! THEY DON&#39;T RESPOND TO DIPLOMACY, THEY ONLY RESPECT FORCE. LET&#39;S GIVE THEM ALL THE FORCE WE GOT! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸😉🇺🇸😉🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫"
2020-11-30T13:29:38Z,You people are f*<b>***</b> liars from The 5th dimension
2020-11-30T11:15:01Z,"I agree there should be daily briefings. Also more news stories need to show the effects of this disease; not only the deaths but the long-term damage it causes those who survive. They also need to show all the people living in tents because nobody is helping them. In addition to that, they need to show cases in which businesses are not taking safety measures and not closing down when employees and customers get sick and businesses that are making people work who are infected. The media needs to shock people out of their denial if we are ever going to get this monster under control."
2020-11-30T06:18:54Z,18 people die of covid in Los and Friday and we are at war?  Really
2021-01-08T02:10:02Z,Probably fewer then that the media has not been honest at all
2020-11-30T05:57:14Z,I am so tired of hearing about LatinX. It is a slang that has never been explained to anyone. Most importantly the Latin community.
2020-11-30T05:53:21Z,"This is nothing more than a distraction for the Congress, the Senate and the president to ignore the millions of people who are starving and out of work and who are going to lose their homes."
2020-11-30T05:50:04Z,Celebrities and pro athletes will get vaccinated first. Just like they got tested first. The disparity will be stark.
2020-11-30T04:52:20Z,Georgia you have the Hero ask in your hands and M have the Hero ask on his D
2020-11-30T04:45:22Z,"I am a realist and I&#39;m sorry, but there is no need to vaccinate perfectly good and healthy people with a vaccine that has not been tested well enough.  It takes years to fully test  medication&#39;s and vaccine&#39;s, so I&#39;m sure there are people that are not going to take it and with very good reason not to. Also, Biden has done nothing to do with this journey of Covid-19 and should not get any kind of credit for any kind of success that comes from anything that the Trump administration has done thus far.....You wouldn&#39;t do a bunch of work at your job and then have someone come in and just pick up where you left off, after all the hard work has been done by you and then they take all the credit,  I know I sure wouldn&#39;t.... that&#39;s my opinion on this vaccine and if you don&#39;t like it, I really don&#39;t care, so no need to comment on my comment."
2020-11-30T04:33:52Z,America is divided <br>by common sense &amp; reckless ideology that have twisted the <br>constitution into a millennial<br>COMIC BOOK.
2020-11-30T04:32:36Z,Did that woman just say “welfare regions”?
2020-11-30T04:02:10Z,That&#39;s just wrong.<br>Slowing the spread has the side effect of prolonging the outbreak.  It doesn&#39;t change the overall deaths.
2020-11-30T03:35:09Z,we are still in the first stage trump doesn&#39;t care about human life just trying to ruin DEMOCRACY and stay in powerto keep out of jail
2020-11-30T03:33:10Z,"??? Going back to normal??? Who has a time machine? Normal no longer exists!! Thank the liars and denyers for the current spread!!! If you&#39;re not in this category ! Wash your hands , wear a proper mask , don&#39;t touch your face after you sneeze or cough!"
2020-11-30T02:51:49Z,"Massive weekly rapid-testing of half the population can crush this virus, like Slovakia has."
2020-11-30T02:47:12Z,America has always been about rich white man who own land and big business.
2020-11-30T01:43:55Z,"People may not die from COVID but they will die from starvation, suicide and domestic violence. But hey Doc....you will get your less than dynamic solution to the virus. This is why you are a Doctor and not much else."
2020-11-30T02:52:30Z,under 3K .. starvation deaths per year USA<br>under 5K .. domestic violence deaths per year USA<br>approx 50K .. suicide deaths per year USA<br>above 270K .. covid deaths in just 10 months
2020-11-30T02:54:50Z,@@surelyyoujokemeinfailure7531 how many people survive starvation during a famine? Just keep these lockdowns going and we shall see all sorts of consequences that don’t have a 99.9% recovery rate.
2020-11-30T03:00:26Z,"@@mik3ymomo The recovery rate for covid is a bit less than 97%. You might want to check the facts before saying things. I do. Or, if you don&#39;t want to, just say you&#39;re bloviating without proof so people know to skip past your posts. <a href=""https://www.worldometers.info/coronavirus/country/us/"">https://www.worldometers.info/coronavirus/country/us/</a>"
2020-11-30T03:09:12Z,"@@surelyyoujokemeinfailure7531 depends on the age group but for the normal healthy working age people it’s a 99.9% recovery rate. The old, sick and retired can’t stay locked down, they have no economy to recover. But they need the economy to continue like the rest of us. My statistics are from the CDC themselves. I’m sure you can find that information yourself. Maybe if I wasn’t done for the night I would post it for you or I can tomorrow."
2020-11-30T15:52:45Z,@@mik3ymomo When you say &quot;this only affects old people&quot; it&#39;s a lot like saying that Hitler&#39;s regime wasn&#39;t too bad because it only affected Jews.<br><br>16.5% of US population is 65+.
2020-11-30T01:25:06Z,It truly is the &quot; Never Ending Story &quot;.
2020-11-30T01:11:17Z,The year is 2025. MSNBC and CNN still beg Americans to wear a mask and social distance....
2020-11-30T01:16:33Z,"If we continue to ignore this virus, then yes. It won&#39;t just be CNN and MSNBC. It&#39;s morons such as yourself that will be the cause."
2020-11-30T04:09:48Z,@@buttkid3548. Exactly!
2020-12-04T14:40:52Z,"@@buttkid3548 itll be impossible to get everyone to follow the rules, so if you cannot get everyone why make everyone suffer? by the time a vaccine is available death will be down 99 percent, so there is no reason to stay in lockdown after that."
2020-11-30T00:40:00Z,"<b>URGENT:</b> See YouTube video entitled, &quot;Dr. Deborah Birx | Recording Covid-19 as Cause of Death No Matter What&quot;. It&#39;s only 39 seconds long."
2020-11-30T00:38:02Z,Congres is a fraudes
2020-11-30T00:36:38Z,"“Fifty-seven percent of Americans say they’ve received a medical bill they weren’t expecting. Sometimes their crime was being unconscious in an ambulance taking them to the nearest (out-of-network) hospital. Other times their mistake was failing to stop their (in-network) provider from commissioning an $18,000 urine test from an (out-of-network) lab. Surprise medical bills like these are a major contributing factor to medical debt, which is the leading cause of bankruptcy in the US.”<br><br>Surprise! We need Medicare for All<br><a href=""https://jacobinmag.com/2019/06/medicare-for-all-medical-billing"">https://jacobinmag.com/2019/06/medicare-for-all-medical-billing</a>"
2020-11-30T00:18:31Z,"<a href=""https://therightscoop.com/former-fbi-special-agent-finds-massive-number-of-absentee-votes-from-non-residents/"">https://therightscoop.com/former-fbi-special-agent-finds-massive-number-of-absentee-votes-from-non-residents/</a><br>Former FBI Special Agent finds MASSIVE number of absentee votes from non-residents in Georgia."
